manufacturer,model,description,transmission,engineCapacity,fuelType,elecEnergyConsumption,maxRange,CO2,fuelCost,elecCost,totalCost,euro,enginePower
VOLVO,"S60, MY20","T8 Twin Engine AWD R-Design Plus 18"" Alloy",8A AWD,1969,Petrol Hybrid,0,32,42,1562,,1562,Euro 6d-TEMP,390
VOLVO,"V60, MY20","T8 Twin Engine AWD R-Design Plus 18"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,1906,,1906,Euro 6d-TEMP,390
VOLVO,"V60, MY20","T8 Twin Engine AWD R-Design Plus 18"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,1689,,1689,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,42,1805,,1805,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD Inscription Plus 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,32,43,1932,,1932,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,32,43,1932,,1932,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD Inscription Plus 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,29,43,1709,,1709,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,29,43,1709,,1709,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD Inscription Plus 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,32,46,1932,,1932,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD R-Design Plus 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,32,46,1932,,1932,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD Inscription Plus 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,29,46,1709,,1709,Euro 6d-TEMP,390
VOLVO,"V90, MY20","T8 Twin Engine AWD R-Design Plus 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,29,46,1709,,1709,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription 20"" Alloy",8A AWD,1969,Petrol Hybrid,0,31,47,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription Pro 20"" Alloy",8A AWD,1969,Petrol Hybrid,0,31,47,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription 20"" Alloy",8A AWD,1969,Petrol Hybrid,0,31,47,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription Pro 20"" Alloy",8A AWD,1969,Petrol Hybrid,0,31,47,1805,,1805,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD R-Design 19"" Alloy",8AT,1969,Petrol Hybrid,0,26,51,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD Inscription 19"" Alloy",8AT,1969,Petrol Hybrid,0,26,51,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD Inscription 20"" Alloy",8AT,1969,Petrol Hybrid,0,26,51,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD Inscription Pro 20"" Alloy",8AT,1969,Petrol Hybrid,0,26,51,2056,,2056,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design 21"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design Pro 21"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design Pro 22"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription Pro 22"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,2143,,2143,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design 21"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design Pro 21"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD R-Design Pro 22"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC60, MY20","T8 Twin Engine AWD Inscription Pro 22"" Alloy",8A AWD,1969,Petrol Hybrid,0,29,52,1805,,1805,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription 20"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,52,1943,,1943,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD R-Design Pro 22"" Alloy",8AT,1969,Petrol Hybrid,0,25,55,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD R-Design Pro 21"" Alloy",8AT,1969,Petrol Hybrid,0,25,55,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD R-Design 21"" Alloy",8AT,1969,Petrol Hybrid,0,25,55,2056,,2056,Euro 6d-TEMP,390
VOLVO,XC60 MY19,"T8 Twin Engine AWD Inscription Pro 22"" Alloy",8AT,1969,Petrol Hybrid,0,25,55,2056,,2056,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design Pro 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription 21"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 21"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,2273,,2273,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD R-Design Pro 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription 21"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 21"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,1943,,1943,Euro 6d-TEMP,390
VOLVO,"XC90, MY20","T8 Twin Engine AWD Inscription Pro 22"" Alloy",8A-AWD,1969,Petrol Hybrid,0,22,55,1943,,1943,Euro 6d-TEMP,390
TOYOTA,Prius MY18,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,75,1037,,1037,Euro 6-WLTP,98
TOYOTA,Prius ,1.8L HYB Active,CVT,1798,Petrol Hybrid,-1,0,75,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Business Edition + Parking Assist Pack 15""",CVT,1798,Petrol Hybrid,-1,0,75,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,1.8L HYB Business Edition + Space Saver,CVT,1798,Petrol Hybrid,-1,0,75,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Business Edition 15""",CVT,1798,Petrol Hybrid,-1,0,75,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Excel 15""",CVT,1798,Petrol Hybrid,-1,0,75,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Corolla Hatchback,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,76,1076,,1076,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Excel,CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Excel Panoramic Roof,CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Icon,CVT,1798,Petrol Hybrid,-1,0,76,1129,,1129,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Icon (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,76,1129,,1129,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Icon Tech,CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Icon Tech (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,76,1076,,1076,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Excel,CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Icon,CVT,1798,Petrol Hybrid,-1,0,76,1129,,1129,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Icon (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,76,1129,,1129,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Icon Tech,CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Icon Tech (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,76,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Saloon ,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,77,1083,,1083,Euro 6-WLTP,112
TOYOTA,Corolla Saloon ,1.8L HYB Icon,CVT,1798,Petrol Hybrid,-1,0,77,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Saloon ,1.8L HYB Icon Tech,CVT,1798,Petrol Hybrid,-1,0,77,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,83,1280,,1280,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Design,CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Design (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Design Panoramic Roof,CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Hatchback,1.8L HYB Design Panoramic Roof (with Spare Wheel),CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,83,1280,,1280,Euro 6-WLTP,112
TOYOTA,Corolla Touring Sports ,1.8L HYB Design,CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Corolla Saloon ,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,83,1316,,1316,Euro 6-WLTP,112
TOYOTA,Corolla Saloon ,1.8L HYB Design,CVT,1798,Petrol Hybrid,-1,0,83,N/A,,-1956,Euro 6-WLTP,112
TOYOTA,Prius MY18,1.8L HYB,CVT,1798,Petrol Hybrid,0,0,84,1190,,1190,Euro 6-WLTP,98
TOYOTA,Prius ,1.8L HYB Business Edition,CVT,1798,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Business Edition + Parking Assist Pack 17""",CVT,1798,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Excel 17""",CVT,1798,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,YARIS MY2018,1.5L HYB,CVT,1497,Petrol Hybrid,0,0,84,1180,,1180,Euro 6-WLTP,75
TOYOTA,Yaris,1.5L Hybrid Active,CVT,1497,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,75
TOYOTA,Yaris,1.5L Hybrid Icon,CVT,1497,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,75
TOYOTA,Yaris,1.5L Hybrid Icon Tech,CVT,1497,Petrol Hybrid,-1,0,84,N/A,,-1956,Euro 6-WLTP,75
HYUNDAI,IONIQ,"Hybrid, all trim levels, 20MY",DCT6,1580,Petrol Hybrid,0,0,85,1129,,1129,Euro 6d-TEMP,105
TOYOTA,Prius MY18,1.8L HYB AWD,CVT,1798,Petrol Hybrid,0,0,85,1208,,1208,Euro 6-WLTP,98
TOYOTA,Prius MY18,1.8L HYB AWD,CVT,1798,Petrol Hybrid,0,0,85,1096,,1096,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Business Edition + Parking Assist Pack 17""AWD",CVT,1798,Petrol Hybrid,-1,0,85,N/A,,-1956,Euro 6-WLTP,98
TOYOTA,Prius ,"1.8L HYB Business Edition 17"" AWD",CVT,1798,Petrol Hybrid,-1,0,85,N/A,,-1956,Euro 6-WLTP,98
CITROEN,C3,BlueHDi 100 S&S 5 speed manual,m5,1499,Diesel,0,,86,1091,,1091,Euro 6d-TEMP,102
KIA,Niro,2 1.6 GDi 1.56kWh lithium-ion 139bhp 6-speed auto DCT Self-Charging Hybrid,6-speed auto DCT,1580,Petrol Electric,0,0,86,1204,,1204,Euro 6d-TEMP,141
KIA,Niro,2 1.6 GDi 1.56kWh lithium-ion 139bhp 6-speed auto DCT with ADAP,6-speed auto DCT,1580,Petrol Hybrid,0,0,86,1204,,1204,Euro 6d-TEMP,141
KIA,Niro,"3 1.6 GDi 1.56kWh lithium-ion 139bhp 6-speed auto DCT (16"" Alloys)",6-speed auto DCT,1580,Petrol Hybrid,0,0,86,1204,,1204,Euro 6d-TEMP,141
KIA,Niro,"3 1.6 GDi 1.56kWh lithium-ion 139bhp 6-speed auto DCT (16"" Alloys) with ADAP",6-speed auto DCT,1580,Petrol Hybrid,0,0,86,1204,,1204,Euro 6d-TEMP,141
KIA,Niro,"4 1.6 GDi 1.56kWh lithium-ion 139bhp 6-speed auto DCT (16"" Alloys)",6-speed auto DCT,1580,Petrol Hybrid,0,0,86,1204,,1204,Euro 6d-TEMP,141
PEUGEOT,208,BlueHDi 100,m5,1499,Diesel,0,,86,1091,,1091,Euro 6d-TEMP,102
PEUGEOT,2008 SUV,BlueHDi 100,m5,1499,Diesel,0,,86,1091,,1091,Euro 6d-TEMP,102
TOYOTA,C-HR MY20,1.8l Hybrid Icon,CVT,1798,Petrol Hybrid,,,86,1204,,1204,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Design,CVT,1798,Petrol Hybrid,,,86,1229,,1229,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Dynamic + Leather + JBL,CVT,1798,Petrol Hybrid,,,86,1229,,1229,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Design + Leather,CVT,1798,Petrol Hybrid,,,86,1229,,1229,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Dynamic,CVT,1798,Petrol Hybrid,,,86,1204,,1204,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Icon + Tech Pack,CVT,1798,Petrol Hybrid,,,86,1204,,1204,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Icon + Parking Sensors,CVT,1798,Petrol Hybrid,,,86,1204,,1204,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Excel,CVT,1798,Petrol Hybrid,,,86,1231,,1231,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Excel + JBL,CVT,1798,Petrol Hybrid,,,86,1229,,1229,Euro 6-WLTP,122
TOYOTA,C-HR MY20,1.8l Hybrid Dynamic + Leather,CVT,1798,Petrol Hybrid,,,86,1229,,1229,Euro 6-WLTP,122
TOYOTA,Yaris,1.5L Hybrid Y20,CVT,1497,Petrol Hybrid,-1,0,87,N/A,,-1956,Euro 6-WLTP,75
FORD,Focus Model Year Pre 2019¾,1.5 EcoBlue,M6,1499,Diesel,0,,89,1113,,1113,Euro 6d-TEMP,95
SUZUKI,Celerio,1.0 2WD,M5,998,Petrol,0,,89,1204,,1204,Euro 6d-TEMP,68
TOYOTA,Corolla Hatchback,2.0L HYB,CVT,1987,Petrol Hybrid,0,0,89,1407,,1407,Euro 6-WLTP,180
